jmeno,funkce,firma
Šimon Berka,Organizátor, OpenAlt z.s.
Jozef Mlich,Organizátor, OpenAlt z.s.
Ladislav Nešněra,Organizátor, OpenAlt z.s.
Pavel Šnajdr,Organizátor, vpsFree.cz
,Organizátor,
,Organizátor,
,Organizátor,
,Organizátor,
,Organizátor,
,Organizátor,
,Organizátor,
,Organizátor,
,Organizátor,
,Organizátor,
,Dobrovolník,
,Dobrovolník,
,Dobrovolník,
,Dobrovolník,
,Dobrovolník,
,Dobrovolník,
,Dobrovolník,
,Dobrovolník,
,Dobrovolník,
,Dobrovolník,
,Přednášející,
,Přednášející,
,Přednášející,
,Přednášející,
,Přednášející,
,Přednášející,
,Přednášející,
,Přednášející,
,Přednášející,
,Přednášející,
